STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry
17,31,70101,4171,41.929678,-87.640223,POINT (651019.1172284868 256547.71600568938)
17,31,70102,3063,41.930554,-87.642057,POINT (650867.5515868631 256638.21589078146)
17,31,70103,1845,41.926831,-87.642684,POINT (650857.57778842 256195.76481849753)
17,31,70200,4200,41.929121,-87.646181,POINT (650562.1304835449 256441.26313233175)
17,31,70300,4349,41.928875,-87.651345,POINT (650163.5755299691 256376.88470052386)
17,31,70400,3250,41.929202,-87.656149,POINT (649787.0279561657 256382.43054124588)
17,31,70500,3322,41.928929,-87.661063,POINT (649408.1658984565 256316.62904590182)
17,31,70600,3449,41.92884,-87.665411,POINT (649071.3547804862 256276.37698920403)
17,31,70700,3699,41.929415,-87.671884,POINT (648562.5957516747 256299.7461075668)
17,31,71000,4357,41.92215,-87.65602,POINT (649870.2861934645 255553.38146452408)
17,31,71100,3091,41.92146,-87.651252,POINT (650247.8512616202 255504.8727298502)
17,31,71200,2973,41.922828,-87.646319,POINT (650616.8428392066 255699.71430505015)
17,31,71300,3893,41.921963,-87.641452,POINT (651003.92005673 255631.32865381552)
17,31,71400,4962,41.922188,-87.637769,POINT (651287.6837708715 255683.10540954754)
17,31,71500,6282,41.914434,-87.635667,POINT (651531.6962140613 254785.0193351331)
17,31,71600,1793,41.916578,-87.641242,POINT (651076.2576872476 254999.03372396072)
17,31,71700,1660,41.912806,-87.641094,POINT (651126.999303792 254556.14120058445)
17,31,71800,2652,41.914252,-87.645802,POINT (650746.1785344693 254693.9868888573)
17,31,80100,6388,41.907109,-87.626958,POINT (652284.6484143604 253982.87384656825)
17,31,80201,3375,41.90949,-87.631252,POINT (651926.2020918803 254233.54071663923)
17,31,80202,4225,41.905745,-87.631001,POINT (651984.7136241397 253794.5412158096)
17,31,80300,5499,41.907224,-87.635365,POINT (651630.222477399 253938.5901799875)
17,31,80400,4569,41.907907,-87.640201,POINT (651247.3542964483 253985.7366171565)
17,31,81000,8746,41.900312,-87.632126,POINT (651953.8831398945 253147.42959202308)
17,31,81100,4187,41.900474,-87.629116,POINT (652186.0992991265 253187.19846520247)
17,31,81201,5080,41.899238,-87.62644,POINT (652406.9290218389 253060.15558018684)
