GEOID,Census Tracts,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
40027202106,"Census Tract 2021.06, Cleveland County, Oklahoma",6264,69.19,83793,105105,39.6,6.9,83.6
40027202107,"Census Tract 2021.07, Cleveland County, Oklahoma",3335,69.60,98010,102391,40.6,6.9,95.9
40027202201,"Census Tract 2022.01, Cleveland County, Oklahoma",4806,72.74,100446,123023,34.6,7.3,85.1
40027202203,"Census Tract 2022.03, Cleveland County, Oklahoma",5945,68.02,74865,90744,39.1,7.8,93.5
40027202205,"Census Tract 2022.05, Cleveland County, Oklahoma",8093,66.53,85078,92442,34.8,5.0,96.0
40027202207,"Census Tract 2022.07, Cleveland County, Oklahoma",646,70.28,0,147973,42.3,0.0,90.9
40027202208,"Census Tract 2022.08, Cleveland County, Oklahoma",2754,66.88,71358,78639,46.9,11.9,92.6
40027202301,"Census Tract 2023.01, Cleveland County, Oklahoma",6821,75.78,122256,127971,27.8,9.0,91.2
40027202302,"Census Tract 2023.02, Cleveland County, Oklahoma",6621,76.51,78363,85688,16.2,15.0,86.6
40027202403,"Census Tract 2024.03, Cleveland County, Oklahoma",5637,78.78,94176,116740,31.6,9.3,95.7
40027202404,"Census Tract 2024.04, Cleveland County, Oklahoma",4307,79.38,68929,92803,16.3,10.1,88.8
40027202405,"Census Tract 2024.05, Cleveland County, Oklahoma",6617,72.57,70319,81475,9.5,17.0,86.4
40027202406,"Census Tract 2024.06, Cleveland County, Oklahoma",3294,72.07,65378,98525,19.5,11.1,84.9
40027202407,"Census Tract 2024.07, Cleveland County, Oklahoma",3207,76.71,59420,80354,18.5,15.8,87.0
40027202501,"Census Tract 2025.01, Cleveland County, Oklahoma",4666,78.91,71220,71261,31.0,9.6,81.6
40027202502,"Census Tract 2025.02, Cleveland County, Oklahoma",2663,79.61,82063,105121,16.4,10.1,82.0
40027202600,"Census Tract 2026, Cleveland County, Oklahoma",2541,70.72,48500,58980,12.2,16.6,76.0
40029388100,"Census Tract 3881, Coal County, Oklahoma",3564,64.14,41899,55572,16.6,12.8,78.8
40029388200,"Census Tract 3882, Coal County, Oklahoma",1702,67.86,46641,69410,19.5,20.2,71.3
40031000100,"Census Tract 1, Comanche County, Oklahoma",3601,49.79,41454,52896,12.6,17.9,78.3
40031000200,"Census Tract 2, Comanche County, Oklahoma",2224,47.48,34943,38972,12.5,4.5,81.4
40031000300,"Census Tract 3, Comanche County, Oklahoma",5101,49.50,53805,59821,22.6,6.3,79.7
40031000402,"Census Tract 4.02, Comanche County, Oklahoma",3841,52.67,57706,134352,32.8,6.5,86.5
40031000403,"Census Tract 4.03, Comanche County, Oklahoma",4637,57.77,81792,116868,39.1,2.9,93.5
40031000404,"Census Tract 4.04, Comanche County, Oklahoma",3857,47.08,41488,49757,27.6,8.8,87.2
40031000405,"Census Tract 4.05, Comanche County, Oklahoma",1957,48.80,65673,57237,15.0,8.8,86.0
40031000503,"Census Tract 5.03, Comanche County, Oklahoma",3549,49.28,49612,58424,26.7,7.3,93.5
40031000504,"Census Tract 5.04, Comanche County, Oklahoma",3689,54.40,41278,66860,15.4,6.2,87.6
40031000505,"Census Tract 5.05, Comanche County, Oklahoma",3831,44.14,68945,70199,20.1,7.9,80.8
40031000506,"Census Tract 5.06, Comanche County, Oklahoma",4075,48.52,74826,85557,42.2,10.8,86.6
40031000600,"Census Tract 6, Comanche County, Oklahoma",2409,61.02,41495,71758,22.6,23.0,80.1
40031000700,"Census Tract 7, Comanche County, Oklahoma",2486,52.61,44583,49975,22.3,11.5,69.0
40031000800,"Census Tract 8, Comanche County, Oklahoma",2169,52.37,23500,40358,7.3,40.7,73.3
40031000900,"Census Tract 9, Comanche County, Oklahoma",1842,62.87,53281,64346,19.9,10.6,86.9
40031001000,"Census Tract 10, Comanche County, Oklahoma",1744,56.48,51552,55641,18.1,8.9,82.3
40031001100,"Census Tract 11, Comanche County, Oklahoma",1544,56.15,55372,82566,33.8,5.6,81.1
40031001400,"Census Tract 14, Comanche County, Oklahoma",1109,51.13,28750,40280,20.0,20.6,85.8
40031001500,"Census Tract 15, Comanche County, Oklahoma",2298,52.26,26196,57353,6.6,25.7,83.1
