GEOID,POPULATION,TRACTCE
17031670800,1477,670800
17031670900,1172,670900
17031671100,994,671100
17031671200,980,671200
17031671300,2048,671300
17031671400,1558,671400
17031671500,2716,671500
17031671600,1804,671600
17031671800,1142,671800
17031671900,1122,671900
17031672000,3397,672000
17031680500,1307,680500
17031680600,1165,680600
17031680900,3573,680900
17031681000,2573,681000
17031681100,2873,681100
17031681200,2353,681200
17031681300,2182,681300
17031681400,2474,681400
17031690300,2302,690300
17031690400,3363,690400
17031690500,992,690500
17031690900,4250,690900
17031691000,2668,691000
17031691100,2980,691100
17031691200,2277,691200
17031691300,2374,691300
17031691400,3411,691400
17031691500,1806,691500
17031700100,3326,700100
17031700200,6554,700200
17031700301,5762,700301
17031700302,5662,700302
17031700401,5822,700401
17031700402,4082,700402
17031700501,6912,700501
17031700502,2978,700502
17031710100,1015,710100
17031710200,4635,710200
17031710300,1424,710300
17031710400,5424,710400
17031710500,4036,710500
17031710600,1706,710600
17031710700,3420,710700
17031710800,4804,710800
17031710900,1942,710900
17031711000,3058,711000
17031711100,2499,711100
17031711200,4687,711200
17031711300,1462,711300
17031711400,2394,711400
17031711500,2372,711500
17031720100,3344,720100
17031720200,4131,720200
17031720300,3637,720300
17031720400,1961,720400
17031720500,2086,720500
17031720600,1691,720600
17031720700,3073,720700
17031730100,2462,730100
17031730201,5627,730201
17031730202,2893,730202
17031730300,1046,730300
17031730400,3386,730400
17031730500,4220,730500
17031730600,3254,730600
17031730700,2281,730700
17031740100,3234,740100
17031740200,5830,740200
17031740300,4869,740300
17031740400,4695,740400
17031750100,3736,750100
17031750200,3024,750200
17031750300,2470,750300
17031750400,2909,750400
17031750500,5618,750500
17031750600,3420,750600
17031760801,4403,760801
17031760802,2374,760802
17031760803,6394,760803
17031770201,5894,770201
17031770202,5060,770202
17031770300,7234,770300
17031770400,4375,770400
17031770500,4632,770500
17031770601,3272,770601
17031770602,4762,770602
17031770700,2537,770700
17031770800,5661,770800
17031770901,5245,770901
17031770902,3732,770902
17031800100,2395,800100
17031800200,6466,800200
17031800300,3613,800300
17031800400,3936,800400
17031800500,5133,800500
17031800600,2429,800600
17031800700,5257,800700
17031800800,2426,800800
17031800900,4505,800900
17031801000,5337,801000
17031801100,4871,801100
17031801200,3651,801200
17031801300,4430,801300
17031801400,2922,801400
17031801500,6572,801500
17031801601,4734,801601
17031801603,4138,801603
17031801605,5883,801605
17031801606,6716,801606
17031801607,5225,801607
17031801608,7057,801608
17031801701,3846,801701
17031801702,4756,801702
17031801800,5972,801800
17031801901,5016,801901
17031801902,3420,801902
17031802002,5130,802002
17031802003,2679,802003
17031802004,5871,802004
17031802100,3734,802100
17031802200,4848,802200
17031802300,5968,802300
17031802402,5543,802402
17031802403,1531,802403
17031802404,7558,802404
17031802503,6412,802503
17031802504,6442,802504
17031802505,6723,802505
17031802506,2285,802506
17031802605,7125,802605
17031802607,1536,802607
17031802608,6730,802608
17031802609,6290,802609
17031802610,1757,802610
17031802701,6682,802701
17031802702,4710,802702
17031802801,5041,802801
17031802802,6991,802802
17031802900,6055,802900
17031803005,2614,803005
17031803007,5153,803007
17031803008,4767,803008
17031803010,5351,803010
17031803012,2234,803012
17031803013,5490,803013
17031803014,3677,803014
17031803015,4631,803015
17031803016,2490,803016
17031803017,6283,803017
17031803100,3616,803100
17031803200,5586,803200
17031803300,5726,803300
17031803400,6592,803400
17031803500,5803,803500
17031803603,6824,803603
17031803604,4209,803604
17031803605,7002,803605
17031803607,4819,803607
17031803608,7544,803608
17031803611,5698,803611
17031803612,3831,803612
17031803613,3434,803613
17031803614,4422,803614
17031803615,2752,803615
17031803616,4635,803616
17031803701,2707,803701
17031803702,6376,803702
17031803800,4522,803800
17031803901,3935,803901
17031803902,3429,803902
17031804000,4763,804000
17031804102,7307,804102
17031804104,4949,804104
17031804105,4168,804105
17031804106,7264,804106
17031804108,4798,804108
17031804109,3078,804109
17031804202,7793,804202
17031804203,3458,804203
17031804204,5263,804204
17031804305,6952,804305
17031804306,5626,804306
17031804308,5518,804308
17031804309,3038,804309
17031804312,2238,804312
17031804313,6354,804313
17031804314,1682,804314
17031804315,2446,804315
17031804316,5027,804316
17031804403,7297,804403
17031804404,5147,804404
17031804405,3570,804405
17031804406,6292,804406
17031804505,3970,804505
17031804506,5472,804506
17031804508,2343,804508
17031804509,6012,804509
17031804510,5872,804510
17031804511,2426,804511
17031804512,3995,804512
17031804513,4065,804513
17031804514,4690,804514
17031804603,5651,804603
17031804606,7088,804606
17031804607,7123,804607
17031804608,4027,804608
17031804609,6147,804609
17031804610,2524,804610
17031804611,4653,804611
17031804701,7045,804701
17031804705,4148,804705
17031804706,2553,804706
17031804709,6814,804709
17031804710,4292,804710
17031804711,7629,804711
17031804712,5456,804712
17031804713,5037,804713
17031804714,3534,804714
17031804715,3426,804715
17031804716,5360,804716
17031804803,5721,804803
17031804804,6809,804804
17031804805,6860,804805
17031804806,3796,804806
17031804807,5224,804807
17031804808,2596,804808
17031804809,4259,804809
17031804810,7097,804810
17031804901,6927,804901
17031804902,5626,804902
17031805001,4985,805001
17031805002,7422,805002
17031805105,7278,805105
17031805106,2778,805106
17031805107,6793,805107
17031805108,6400,805108
17031805109,4396,805109
17031805110,4440,805110
17031805111,7786,805111
17031805112,3482,805112
17031805201,3475,805201
17031805202,4078,805202
17031805301,3588,805301
